branches,commits,createdAt,diskUsage,followers,following,forkCount,gistComments,gistStar,gists,hasWikiEnabled,iClosedComments,iClosedParticipants,iOpenComments,iOpenParticipants,issuesClosed,issuesOpen,members,organizations,prClosed,prClosedComments,prClosedCommits,prMerged,prMergedComments,prMergedCommits,prOpen,prOpenComments,prOpenCommits,pushedAt,readmeCharCount,readmeLinkCount,readmeSize,readmeWordCount,releases,repositories,stars,subscribersCount,tags,type,updatedAt,websiteUrl,desWordCount,desCharCount,mit_license,nan_license,apache_license,other_license,remain_license,JavaScript,Python,Java,Objective-C,Ruby,PHP,other_language
78,3,181.0,393974,2135,86.0,59.0,45,2.0,1.0,16.0,1,86,74,62,35,43,14,0.0,7.0,2,3,2,20,19,41,0,0,0,418621,9826,65,9826,1360,26,94,355,20,26,1,420231,0,5,44,1,0,0,0,0,1,0,0,0,0,0,0
79,3,298.0,393968,469,90.0,49.0,55,14.0,25.0,128.0,1,293,155,63,40,62,18,0.0,3.0,7,14,9,61,198,121,2,14,7,421534,5587,27,5591,804,4,164,382,12,40,1,421896,1,12,93,0,1,0,0,0,0,0,0,0,0,0,1
80,2,3370.0,393974,44561,61.0,0.0,137,0.0,0.0,0.0,1,75,51,8,8,22,5,0.0,0.0,7,15,41,4,11,4,2,0,24,421811,6990,9,6990,1077,0,2,404,89,6,1,421821,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1
81,1,132.0,393961,123,145.0,25.0,63,9.0,10.0,15.0,1,38,31,36,33,15,15,0.0,4.0,16,22,23,24,64,57,1,0,1,421060,8538,11,8539,1214,0,208,409,6,25,1,421855,1,5,42,0,1,0,0,0,1,0,0,0,0,0,0
82,2,193.0,393965,459,62.0,47.0,107,3.0,1.0,27.0,1,7,8,28,31,4,15,0.0,0.0,1,0,1,37,24,87,0,0,0,420143,4602,12,4604,776,0,48,453,46,0,1,421870,1,5,25,0,0,0,1,0,0,0,0,0,0,0,1
83,5,82.0,393970,842,276.0,109.0,98,0.0,0.0,2.0,1,5,8,8,20,5,14,0.0,0.0,1,1,1,8,14,18,7,1,14,420449,3232,10,3232,358,0,21,500,15,8,1,421832,1,11,67,1,0,0,0,0,0,0,0,0,0,0,1
84,2,36.0,393972,1631,39.0,20.0,125,0.0,0.0,1.0,1,57,45,29,36,20,20,0.0,0.0,0,0,0,2,1,2,0,0,0,420708,3574,0,3844,329,0,17,561,26,4,1,421825,0,12,96,1,0,0,0,0,0,0,0,1,0,0,0
85,5,572.0,393964,1612,35.0,11.0,58,0.0,0.0,0.0,1,43,44,22,17,16,7,0.0,0.0,6,2,22,13,1,52,0,0,0,421350,3449,18,3449,505,2,8,627,28,2,1,421906,0,9,47,0,0,1,0,0,0,0,0,0,0,0,1
86,1,57.0,393976,3688,430.0,80.0,227,0.0,0.0,4.0,1,17,29,0,0,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0,416932,1012,10,1066,117,5,25,649,40,5,1,421766,1,1,27,0,1,0,0,0,0,0,0,1,0,0,0
87,1,9.0,393972,296,134.0,0.0,303,0.0,0.0,0.0,1,7,4,46,49,3,23,0.0,0.0,0,0,0,0,0,0,3,0,5,411448,508,1,736,44,0,14,846,46,0,1,421808,0,2,39,0,1,0,0,0,0,1,0,0,0,0,0
